A Pair of Silk Stockings,4.4,Comedy/Romance
A Romance of Happy Valley,6.1,Drama/Romance
Shifting Sands,5.1,Drama
Shoulder Arms,7.3,Comedy/War
Stella Maris,6.7,Drama
Tarzan of the Apes,5.7,Action/Adventure
Tih Minh,7.0,Adventure/Mystery
The Unbeliever,5.9,Drama/War
The Whispering Chorus,6.8,Drama
Anders als die Andern,7.0,Crime/Drama/History
Ravished Armenia,5.9,Drama/History/Romance
Die Austernprinzessin,7.2,Comedy
El automóvil gris,7.1,Action/Crime
Back to God's Country,6.3,Adventure/Romance/Western
Behind the Door,7.1,Drama/Thriller/War
Blind Husbands,7.0,Drama/Romance
Broken Blossoms or The Yellow Man and the Girl,7.3,Drama/Romance
The Busher,5.7,Drama/Sport
Daddy-Long-Legs,6.5,Comedy/Drama
The Delicious Little Devil,5.9,Comedy/Drama
Don't Change Your Husband,6.6,Comedy
Eyes of Youth,5.3,Drama
For Better for Worse,5.4,Drama
Getting Mary Married,6.5,Comedy
The Greatest Question,5.8,Drama
The Grim Game,6.8,Adventure/Drama
Harakiri,5.6,Drama
Hawthorne of the U.S.A.,3.9,Adventure/Comedy/Romance
Heart o' the Hills,5.6,Drama/Romance
Herr Arnes pengar,7.3,Drama/History
The Hoodlum,6.7,Comedy
Ich möchte kein Mann sein,6.9,Comedy/Romance
Ingmarssönerna,6.9,Drama
J'accuse,7.7,Drama/Horror/War
Das Cabinet des Dr. Caligari,8.1,Fantasy/Horror/Mystery
Male and Female,7.0,Adventure/Drama
Meyer aus Berlin,6.0,Comedy
The Miracle Man,6.6,Drama
The Mother and the Law,6.9,Drama
Die Pest in Florenz,6.3,Drama/History/Horror
Præsidenten,6.6,Drama
Die Puppe,7.4,Comedy/Fantasy
The Roaring Road,5.2,Comedy/Drama/Sport
Scarlet Days,4.9,Adventure/Romance/Western
The Sentimental Bloke,6.3,Drama/Romance
Die Spinnen 1. Teil - Der Goldene See,6.6,Adventure/Western
Sången om den eldröda blomman,6.9,Drama/Romance
True Heart Susie,7.0,Comedy/Drama/Romance
Unheimliche Geschichten,6.5,Fantasy/Horror/Mystery
Victory,6.6,Drama/Romance
Wagon Tracks,6.7,Western
When the Clouds Roll by,6.9,Action/Comedy/Romance
The Wicked Darling,6.4,Drama/Crime
Yankee Doodle in Berlin,5.5,Comedy
Algol - Tragödie der Macht,6.3,Fantasy/Sci-Fi
Anna Boleyn,6.6,Biography/Drama/Romance
April Folly,6.4,Drama/Crime
L'Atlantide,6.7,Adventure/Fantasy/Mystery
Blade af Satans bog,6.7,Drama
Dr. Jekyll and Mr. Hyde,7.0,Drama/Horror/Sci-Fi
Erotikon,6.6,Comedy/Romance
Fante-Anne,6.2,Crime/Drama/Romance
The Flapper,6.6,Comedy
Der Gang in die Nacht,6.4,Drama
Genuine,6.0,Horror
Der Golem wie er in die Welt kam,7.2,Fantasy/Horror
Headin' Home,5.1,Biography/Comedy/Drama
L'Hirondelle et la Mésange,7.1,Drama
L'homme du large,6.9,Drama
Humoresque,6.2,Drama
The Jack-Knife Man,6.2,Drama
Just Pals,6.6,Comedy/Drama/Western
Der Klosterjäger,6.0,Drama
Klostret i Sendomir,6.8,Drama
Kohlhiesels Töchter,6.7,Comedy/Romance
The Last of the Mohicans,6.7,Action/Adventure/Drama
The Love Expert,4.9,Comedy/Romance
The Love Flower,5.9,Drama
The Mark of Zorro,7.1,Adventure/Romance/Western
Markens grøde,6.6,Drama
The Mollycoddle,6.5,Adventure/Comedy/Romance
Nomads of the North,5.7,Drama
Pollyanna,6.4,Family/Comedy/Drama
Prästänkan,7.1,Comedy/Drama/Horror
The Restless Sex,6.1,Drama
Romeo und Julia im Schnee,6.5,Comedy
The Round-Up,5.7,Comedy/Western
The Saphead,6.1,Comedy
Sex,6.0,Drama
Something to Think About,5.2,Drama
Die Spinnen 2. Teil - Das Brillantenschiff,6.4,Adventure
Suds,6.3,Comedy/Drama/Romance
Sumurun,6.1,Adventure/Drama/Romance
Terror Island,5.5,Mystery
The Toll Gate,6.5,Adventure/Drama/Western
Von morgens bis mitternachts,6.9,Drama/Thriller
Das wandernde Bild,6.1,Romance
Way Down East,7.4,Drama/Romance
Why Change Your Wife?,6.7,Comedy/Drama
Within Our Gates,6.3,Drama/Romance
The Ace of Hearts,6.8,Crime/Drama/Mystery
Adventures of Tarzan,6.0,Action/Adventure
The Affairs of Anatol,6.6,Comedy/Drama
Be My Wife,6.9,Comedy
Die Bergkatze,7.0,Comedy/Drama/Romance
The Blot,6.8,Drama/Romance
Buried Treasure,6.4,Adventure/Fantasy/Romance
Camille,6.6,Drama/Romance
The Conquering Power,6.8,Drama/Romance
Dream Street,5.5,Comedy/Drama/Romance
Ducks and Drakes,6.4,Comedy/Romance
Eldorado,7.0,Drama
Enchantment,6.4,Comedy
Forbidden Fruit,6.5,Drama
The Four Horsemen of the Apocalypse,7.2,Drama/Romance/War
Hamlet,7.0,Drama
Hintertreppe,6.8,Drama
Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,6.7,Adventure/Fantasy
Das indische Grabmal erster Teil - Die Sendung des Yoghi,6.6,Adventure/Fantasy
Johan,6.8,Drama
The Kid,8.3,Comedy/Drama/Family
Körkarlen,8.1,Drama/Fantasy/Horror
Leap Year,6.1,Comedy
Little Lord Fauntleroy,6.7,Drama
The Love Light,6.5,Drama
Miss Lulu Bett,7.0,Comedy/Drama
My Boy,6.2,Comedy/Drama
Der müde Tod,7.7,Drama/Fantasy/Thriller
The Nut,6.5,Action/Comedy/Romance
Orphans of the Storm,7.4,Drama/History/Romance
